"LANGUAGE_CODE","LANGUAGE_NAME_EN","LANGUAGE_NAME","COUNT"
"sat","Santali","ᱥᱟᱱᱛᱟᱲᱤ","15314"
"sc","Sardinian","sardu","7818"
"scn","Sicilian","sicilianu","26307"
"sco","Scots","Scots","34216"
"sd","Sindhi","سنڌي","21915"
"se","Northern Sami","davvisámegiella","7907"
"sg","Sango","Sängö","375"
"sgs","Samogitian","žemaitėška","17276"
"sh","Serbo-Croatian","srpskohrvatski / српскохрватски","461817"
"shi","Tachelhit","Taclḥit","10890"
"shn","Shan","တႆး","15920"
"si","Sinhala","සිංහල","25589"
"simple","Simple English","Simple English","282759"
"sk","Slovak","slovenčina","260301"
"skr","Saraiki","سرائیکی","24645"
"sl","Slovenian","slovenščina","198159"
"sm","Samoan","Gagana Samoa","1208"
"smn","Inari Sami","anarâškielâ","6702"
"sn","Shona","chiShona","11702"
"so","Somali","Soomaaliga","11246"
"sq","Albanian","shqip","105980"
"sr","Serbian","српски / srpski","705942"
"srn","Sranan Tongo","Sranantongo","1132"
"ss","Swati","SiSwati","1153"
"st","Southern Sotho","Sesotho","1894"
"stq","Saterland Frisian","Seeltersk","4188"
"su","Sundanese","Sunda","62936"
"sv","Swedish","svenska","2626375"
"sw","Swahili","Kiswahili","120877"
"syl","Sylheti","ꠍꠤꠟꠐꠤ","1230"
"szl","Silesian","ślůnski","60735"
"szy","Sakizaya","Sakizaya","2741"
"ta","Tamil","தமிழ்","187049"
"tay","Atayal","Tayal","2581"
"tcy","Tulu","ತುಳು","3622"
"tdd","Tai Nuea","ᥖᥭᥰ ᥖᥬᥲ ᥑᥨᥒᥰ","449"
"te","Telugu","తెలుగు","125204"
"tet","Tetum","tetun","1516"
"tg","Tajik","тоҷикӣ","118560"
"th","Thai","ไทย","184450"
"ti","Tigrinya","ትግርኛ","365"
"tig","Tigre","ትግሬ","62"
"tk","Turkmen","Türkmençe","7199"
"tl","Tagalog","Tagalog","49152"
"tly","Talysh","tolışi","10145"
"tn","Tswana","Setswana","5021"
"to","Tongan","lea faka-Tonga","2047"
"tok","Toki Pona","toki pona","4376"
"tpi","Tok Pisin","Tok Pisin","1415"
"tr","Turkish","Türkçe","688368"
"trv","Taroko","Seediq","1201"
"ts","Tsonga","Xitsonga","1087"
"tt","Tatar","татарча / tatarça","708879"
"tum","Tumbuka","chiTumbuka","19192"
"tw","Twi","Twi","4736"
"ty","Tahitian","reo tahiti","1252"
"tyv","Tuvinian","тыва дыл","4128"
"udm","Udmurt","удмурт","5916"
"ug","Uyghur","ئۇيغۇرچە / Uyghurche","9723"
"uk","Ukrainian","українська","1426492"
"ur","Urdu","اردو","640939"
"uz","Uzbek","oʻzbekcha / ўзбекча","347788"
"ve","Venda","Tshivenda","900"
"vec","Venetian","vèneto","69614"
"vep","Veps","vepsän kel’","7111"
"vi","Vietnamese","Tiếng Việt","1302919"
"vls","West Flemish","West-Vlams","8352"
"vo","Volapük","Volapük","52471"
"vro","Võro","võro","6920"
"wa","Walloon","walon","12962"
"war","Waray","Winaray","1266914"
"wo","Wolof","Wolof","1743"
"wuu","Wu","吴语","48251"
"xal","Kalmyk","хальмг","1575"
"xh","Xhosa","isiXhosa","2421"
"xmf","Mingrelian","მარგალური","22391"
"yi","Yiddish","ייִדיש","15735"
"yo","Yoruba","Yorùbá","37585"
"yue","Cantonese","粵語","150570"
"za","Zhuang","Vahcuengh","3018"
"zea","Zeelandic","Zeêuws","7373"
"zgh","Standard Moroccan Tamazight","ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ","12238"
"zh","Chinese","中文","1541868"
"zu","Zulu","isiZulu","12382"
