"PLAN_INDEX","TOOL_IDENTIFIER","COUNT"
"599","CC BY-NC-SA 1.0 IL","679000"
"600","CC BY-ND 1.0 IL","23400000"
"601","CC BY-ND-NC 1.0 IL","5670000"
"602","CC BY-SA 1.0 IL","13500000"
"603","CC BY 1.0 NL","14500000"
"604","CC BY-NC 1.0 NL","481000"
"605","CC BY-NC-SA 1.0 NL","268000"
"606","CC BY-ND 1.0 NL","14300000"
"607","CC BY-ND-NC 1.0 NL","581000"
"608","CC BY-SA 1.0 NL","6000000"
"609","CC DEVNATIONS 2.0","87"
"610","CC NC 1.0","33800000"
"611","CC NC-SA 1.0","15000000"
"612","CC NC-SAMPLING+ 1.0","25700000"
"613","CC ND 1.0","185000000"
"614","CC ND-NC 1.0","33100000"
"615","CC SA 1.0","68400000"
"616","CC SAMPLING 1.0","113000000"
"617","CC SAMPLING+ 1.0","106000000"
"618","CC NC 2.0 JP","16400000"
"619","CC NC-SA 2.0 JP","6290000"
"620","CC ND 2.0 JP","67200000"
"621","CC ND-NC 2.0 JP","16200000"
"622","CC SA 2.0 JP","28000000"
"623","CC SAMPLING 1.0 BR","21100000"
"624","CC SAMPLING+ 1.0 BR","21400000"
"625","CC SAMPLING+ 1.0 DE","81100000"
"626","CC NC 1.0 FI","700000"
"627","CC NC-SA 1.0 FI","377000"
"628","CC ND 1.0 FI","12300000"
"629","CC ND-NC 1.0 FI","711000"
"630","CC SA 1.0 FI","2620000"
"631","CC NC 1.0 NL","522000"
"632","CC NC-SA 1.0 NL","273000"
"633","CC ND 1.0 NL","14000000"
"634","CC ND-NC 1.0 NL","541000"
"635","CC SA 1.0 NL","6100000"
"636","CC NC-SAMPLING+ 1.0 TW","9730000"
"637","CC SAMPLING 1.0 TW","25900000"
"638","CC SAMPLING+ 1.0 TW","25600000"
"639","CERTIFICATION 1.0 US","119000"
"640","CERTIFICATION 1.0 US","37000000"
